z (m),u (m/s),V (1/s),T (K),rho (kg/m3),H2,H,O,O2,OH,H2O,HO2,H2O2,C,CH,CH2,CH2(S),CH3,CH4,CO,CO2,HCO,CH2O,CH2OH,CH3O,CH3OH,C2H,C2H2,C2H3,C2H4,C2H5,C2H6,HCCO,CH2CO,HCCOH,N,NH,NH2,NH3,NNH,NO,NO2,N2O,HNO,CN,HCN,H2CN,HCNN,HCNO,HOCN,HNCO,NCO,N2,AR,C3H7,C3H8,CH2CHO,CH3CHO
0.008484375,-0.7111648053163727,316.0765237953995,1822.1926551589775,0.17431926398777073,0.02921984989389414,0.0001814461744853911,2.3808857029600885e-06,0.006844620252178904,5.379754016290398e-05,0.15961605463122921,1.6545587817909105e-06,8.539344827706842e-08,4.539780430977434e-09,5.5476715260014153e-08,9.58486526046858e-06,4.5943508971697704e-07,0.0030355442530901936,0.04524845704579501,0.046712473659999594,0.05483156173650029,1.115451565717932e-06,0.00019280759634078933,5.368311121568703e-07,1.4288409396034077e-07,2.017495647674229e-05,2.7909896524246997e-07,0.005708804627038873,1.2023586854960277e-05,0.0032275432675503246,2.4890497269333204e-05,0.0006667127757078482,9.538612186421462e-06,0.0001688224544353601,9.15351286169824e-06,3.3042102334985402e-09,2.3183222979538908e-08,1.9289530232196365e-07,5.215330117485966e-06,2.4389766918796033e-10,4.7240526281239015e-05,9.385836082683951e-09,5.70186006841148e-08,1.7774597469187957e-08,2.8813082176741586e-09,4.030579147979717e-05,3.145014461252937e-10,8.921105926456859e-11,2.9600286253750814e-06,2.9312653418019396e-08,8.695301906121807e-06,1.8000768996311194e-08,0.6360539839033321,0.008036474290921952,1.8826477994404765e-08,1.734250362232773e-06,8.339292862574153e-08,2.3574588825305217e-06
0.0085,-0.7243121090158073,314.6899900433826,1834.2369914488788,0.17352166989386394,0.029127634074977406,0.0002178649713074372,3.008328211778754e-06,0.006953417036451182,6.720930888421042e-05,0.1604299692194727,1.8460426130164982e-06,9.63104616534315e-08,8.177457978803318e-09,8.553390310985895e-08,1.1847293865025648e-05,5.847683140060607e-07,0.00316757355101595,0.04065204118489751,0.04689215349778772,0.05513090227566287,1.3477789062029537e-06,0.0002006634567773297,6.700834386801173e-07,1.6252504919382602e-07,2.03167256473534e-05,3.4812738029678066e-07,0.005612365876431193,1.3654180329991982e-05,0.0030763215113320374,2.6351139021535473e-05,0.0006021871166096175,1.0974378747312966e-05,0.00016764695367631858,9.455538327558752e-06,4.9848377036718035e-09,2.848707394559167e-08,2.232118223398309e-07,5.143664635560182e-06,2.9716629473794e-10,4.7795216646179965e-05,8.752052614286425e-09,5.77059133965352e-08,2.048733534512938e-08,3.6076597151081634e-09,4.035494613163434e-05,4.2212673932643947e-10,1.3060783795204023e-10,2.9386330621732885e-06,3.061488061998316e-08,8.683390060730738e-06,2.1796728175229533e-08,0.6394098837442759,0.00808193414339086,2.107455251375344e-08,1.5771306831347618e-06,9.44797343905158e-08,2.466111663814403e-06
0.008515625,-0.7373887080769931,313.27858856187095,1846.0499180208296,0.17274831568097396,0.028994555776265685,0.00026256966959620757,3.8392645668003625e-06,0.007075127836467056,8.448659740391146e-05,0.1612156045831873,2.073719468150979e-06,1.0909266207468504e-07,1.4778256013933691e-08,1.3240137405987014e-07,1.4645483228991121e-05,7.443070840471206e-07,0.0032869731374714907,0.03625625839287906,0.047048957075123354,0.05542419447403462,1.640890967188416e-06,0.00020911096406585908,8.379604643278764e-07,1.8501446109597574e-07,2.0421895234736172e-05,4.3452187410272786e-07,0.005493994701645767,1.545907104752369e-05,0.0029085277761478536,2.7597416487083743e-05,0.000538160588480547,1.2590769790158254e-05,0.00016607597841758703,9.756761649717943e-06,7.576772496462568e-09,3.511613607736094e-08,2.5766213672044134e-07,5.0547682485799816e-06,3.6325056878064e-10,4.838882065347373e-05,8.207146858867247e-09,5.846265055082594e-08,2.3586533675900804e-08,4.533575750908782e-09,4.037300074606478e-05,5.829053234572391e-10,1.9215472767115767e-10,2.9108265636506895e-06,3.203067163753811e-08,8.658816774018405e-06,2.6462466425818106e-08,0.6426884747196971,0.00812647994451916,2.3359446904807275e-08,1.4132269420441336e-06,1.0713445685004437e-07,2.579705749266331e-06
0.00853125,-0.75037712931612,311.84291473764904,1857.5990171802039,0.17200196928014866,0.028814603451354184,0.00031752215266418494,4.955086873351806e-06,0.0072127198017637815,0.00010687966544151345,0.1619701623824209,2.345585264663238e-06,1.2399038292103856e-07,2.6715951496535207e-08,2.0542051049902869e-07,1.8087550137599075e-05,9.464351505139981e-07,0.0033883195219148597,0.03207206863898985,0.047178899922170545,0.05571190906493041,2.012946950995603e-06,0.00021813622531508583,1.0485738167596468e-06,2.106801302086349e-07,2.0477191355447503e-05,5.42306139543215e-07,0.005350918442158199,1.742412424038421e-05,0.0027244925276896214,2.8523862063938884e-05,0.00047502121198288475,1.4400742386632569e-05,0.00016404461623201357,1.0050716378255567e-05,1.1577162116909564e-08,4.3374557136951176e-08,2.9641463585754984e-07,4.946476770086372e-06,4.453272126025588e-10,4.902770958637767e-05,7.745247801833445e-09,5.9302676853044354e-08,2.7090852268278886e-08,5.71682178519464e-09,4.0354897222984467e-05,8.23931535979559e-10,2.835942296621292e-10,2.8759383524056988e-06,3.3569598165239386e-08,8.619291221206331e-06,3.219865665864341e-08,0.6458923536145477,0.008170136670882547,2.5535076030496337e-08,1.2439501484068372e-06,1.2149182847951258e-07,2.696328540956507e-06
0.008546875,-0.763254074364363,310.3835299698038,1868.8397047313263,0.17128651029454944,0.028581003463947798,0.0003850393237352183,6.475740224274062e-06,0.007369915329639086,0.0001360420388067746,0.16269009081343974,2.670955007606932e-06,1.412074221634722e-07,4.81263871516886e-08,3.186138326184206e-07,2.2282078492639083e-05,1.2004013565820931e-06,0.003465104201452478,0.028111809981334213,0.04727689790751899,0.0559945774781513,2.4871775353792218e-06,0.00022768871489413896,1.3106841031415958e-06,2.39765392376801e-07,2.046577419295332e-05,6.759173974844366e-07,0.0051802266353098095,1.951348025060548e-05,0.002525104924333113,2.9011192738405125e-05,0.0004132541397164977,1.641547854608892e-05,0.00016148316889088804,1.0328615535476347e-05,1.7732682768804096e-08,5.36055219926724e-08,3.3943629663521376e-07,4.816597873529796e-06,5.471930756641614e-10,4.9719160657721016e-05,7.360964100144271e-09,6.024309268165636e-08,3.100454453899627e-08,7.230189677659527e-09,4.0293646507334276e-05,1.1834263528687904e-09,4.1875884918661945e-10,2.8332725542211173e-06,3.524063194915441e-08,8.562063146782288e-06,3.924176258813882e-08,0.6490243759181757,0.00821293295786173,2.7396517731675592e-08,1.0717158347674331e-06,1.3763275468120214e-07,2.813063465372273e-06
0.0085625,-0.7759887767834059,308.90095632590715,1879.7118999660916,0.17060719841863972,0.0282862486518729,0.0004677746752535499,8.580493101618922e-06,0.007551402080944954,0.0001741360088245817,0.16337090575661886,3.060268794276401e-06,1.608387030908629e-07,8.597838545257829e-08,4.922689012736377e-07,2.732024092244483e-05,1.5153935848903065e-06,0.0035098554415853235,0.02438898190644343,0.04733645051645045,0.05627277896586893,3.0925539961464205e-06,0.00023766183189018235,1.6326890851616816e-06,2.7232651203034147e-07,2.0366757206894715e-05,8.397961093957825e-07,0.0049789971686178885,2.166147586314948e-05,0.002311932146384494,2.8937035176112604e-05,0.00035346105993313166,1.8643535814400055e-05,0.00015831839764278384,1.057864619819754e-05,2.71322770946486e-08,6.617479535850395e-08,3.863983829556392e-07,4.663037312504884e-06,6.732523743559731e-10,5.04714683006547e-05,7.0494628665239455e-09,6.13051738526635e-08,3.531313486607946e-08,9.163210219785189e-09,4.017938122876383e-05,1.7119326673059534e-09,6.164747750379559e-10,2.7821103488171664e-06,3.7050607847836195e-08,8.483865575786095e-06,4.7862829627426525e-08,0.6520876833106359,0.008254901518708847,2.868774292338787e-08,9.000140284676541e-07,1.555479514003141e-07,2.925699945404888e-06
0.008578125,-0.7885411070314604,307.39566959797406,1890.13617835527,0.16997097449935777,0.0279222039653399,0.0005686464430469097,1.1540563567265859e-05,0.007763095758029968,0.00022394609428855872,0.16400699092202584,3.5245460479010543e-06,1.8278385313797915e-07,1.514720893174855e-07,7.541942466304544e-07,3.324718077120327e-05,1.8988181902236e-06,0.0035144862027030404,0.02091780457256809,0.047349248518738216,0.056547107595600395,3.863781560922972e-06,0.00024786670622578257,2.0208256997106085e-06,3.080832194316091e-07,2.0155081408989853e-05,1.0376044724937035e-06,0.004744503027858102,2.3765384823899794e-05,0.0020873229951477307,2.819368958521997e-05,0.00029636371449610595,2.1089501963219496e-05,0.00015447471664744797,1.078523265557654e-05,4.1297632149742196e-08,8.14384108134976e-08,4.365712110846365e-07,4.483974062508167e-06,8.284143180090793e-10,5.129403063829561e-05,6.806506212545856e-09,6.251554864071576e-08,3.9980235469368435e-08,1.1621942394549533e-08,3.99980419086825e-05,2.4698106410567705e-09,9.008257639197423e-10,2.7217064986081377e-06,3.9001748854021386e-08,8.380879181731004e-06,5.836083374728166e-08,0.6550857142903276,0.008296079351711162,2.913062457315494e-08,7.333009944944593e-07,1.750934739908556e-07,3.0284305869900264e-06
0.00859375,-0.80085949668024,305.8680905226031,1900.009549715534,0.16938678096226945,0.027480314473287706,0.0006906921730090592,1.576944374219541e-05,0.008012462652998764,0.0002889862621585145,0.16459138740652335,4.0743098193309665e-06,2.0664398535011755e-07,2.61444987004237e-07,1.1395875472776615e-06,4.002265453795146e-05,2.3536063878773167e-06,0.00347093651127769,0.017712502036300586,0.047304705880746,0.05681810697125921,4.839818778879654e-06,0.0002579995744104274,2.4764792407442624e-06,3.4622636239491454e-07,1.9802091517707286e-05,1.2709532898651292e-06,0.004474522920977114,2.5682101310053675e-05,0.0018544748231783775,2.6711975194807494e-05,0.00024278178917747225,2.375163976682239e-05,0.0001498749915517328,1.0928480044944831e-05,6.222671927952556e-08,9.968930728630431e-08,4.887208358688455e-07,4.278085315226752e-06,1.017861321419869e-09,5.2197364673607414e-05,6.628466850634384e-09,6.390762746734372e-08,4.4946462646889285e-08,1.472458078276283e-08,3.972969994236323e-05,3.5172337270958526e-09,1.2998658969895704e-09,2.6512780294084238e-06,4.1088049468260985e-08,8.248739950568977e-06,7.10478517695403e-08,0.6580221878328172,0.008336507598697331,2.8479729416987918e-08,5.766452953341078e-07,1.9594116245086632e-07,3.1135961557730627e-06
0.008609375,-0.8128788244338097,304.3185740123112,1909.2011597595183,0.16886587880210038,0.026951937520224067,0.0008368329369417254,2.189671043199017e-05,0.00830890532293884,0.00037357398649286703,0.16511559169057166,4.717802796667162e-06,2.3162497755801187e-07,4.3884461024211333e-07,1.6876084137270919e-06,4.747786861437691e-05,2.8747207488713352e-06,0.0033721451964232605,0.0147862839400201,0.04718943382660792,0.057086156577341694,6.059650760745469e-06,0.0002676061494953472,2.9930522342109437e-06,3.852312782978482e-07,1.9277244384875426e-05,1.5377471112549125e-06,0.004167771791991,2.723478990822934e-05,0.0016174391909569727,2.448692825516839e-05,0.00019357730532541323,2.6618169475163607e-05,0.0001444406935210543,1.0984213132560647e-05,9.230556839750644e-08,1.2107953959686943e-07,5.410288298800069e-07,4.0448131085654465e-06,1.246648846186826e-09,5.3192964694688155e-05,6.51237123853217e-09,6.552326999790019e-08,5.013124986575432e-08,1.8589441743342407e-08,3.9346689086721676e-05,4.893418668586513e-09,1.8414453604928918e-09,2.569983968314793e-06,4.329056535635279e-08,8.082617883290387e-06,8.62238077471341e-08,0.6609010501443171,0.008376230916566632,2.659839914937038e-08,4.3511129388526904e-07,2.1755225005934678e-07,3.1716062888635024e-06
0.008617187500000002,-0.8187449962253537,303.5356651403781,1913.4790028865552,0.16863476454919984,0.026651789820330514,0.0009199774393945344,2.6035350186552086e-05,0.008479580724653697,0.00042522436038799064,0.16535146599333173,5.076666773929065e-06,2.4409112191396777e-07,5.631625079717538e-07,2.0350655290803017e-06,5.134625293003216e-05,3.155882790226395e-06,0.0033000009602064716,0.013430634362192577,0.047098659104381754,0.05721927671415453,6.773964224374484e-06,0.0002719773902435388,3.2689834387494812e-06,4.043209400546844e-07,1.8938344710297853e-05,1.682257066294361e-06,0.004000327524542147,2.780680788128847e-05,0.0014989856832171918,2.3120957015431216e-05,0.0001709029257579389,2.8120956592661042e-05,0.00014137266772890156,1.0968721759223704e-05,1.1173397006485396e-07,1.3293833946661188e-07,5.663595918450292e-07,3.917867190721051e-06,1.3775496477886633e-09,5.3730893696265425e-05,6.476857316079403e-09,6.64366670751474e-08,5.2773528395820404e-08,2.0848818998920912e-08,3.9097523262287905e-05,5.707655899500331e-09,2.1737884834875767e-09,2.524811217821041e-06,4.4423495298238364e-08,7.984630571161232e-06,9.486152604639572e-08,0.6623222374196295,0.00839587182566919,2.521205687209749e-08,3.715799412588323e-07,2.28527605956088e-07,3.186141378646547e-06
