N,T,Y_C2H4
24152,300.00342,3.3420863e-06
24153,300.00266,2.462222e-06
24154,300.00204,1.8005817e-06
24155,300.00156,1.3067296e-06
24156,300.0012,9.409244e-07
24157,300.0009,6.720886e-07
24158,300.00067,4.7610794e-07
24159,300.0005,3.3442083e-07
24160,300.00037,2.3285727e-07
24161,300.00027,1.6069113e-07
24162,300.00018,1.0987374e-07
24163,300.00015,7.4419475e-08
24164,300.0001,4.991783e-08
24165,300.00006,3.314955e-08
24166,300.00006,2.1787677e-08
24167,300.00003,1.4166907e-08
24168,300.00003,9.107591e-09
24169,300.00003,5.7827516e-09
24170,300.0,3.6195014e-09
24171,300.0,2.2795776e-09
24172,300.0,1.4591526e-09
24173,300.0,8.872187e-10
24174,300.0,5.333946e-10
24175,300.00003,3.170706e-10
24176,300.00003,1.863606e-10
24177,300.00003,1.0829949e-10
24178,300.00003,6.221153e-11
24179,300.00006,3.5291093e-11
24180,300.00006,1.97873e-11
24181,300.00006,1.1084974e-11
24182,300.0001,6.30845e-12
24183,300.00012,3.4700836e-12
24184,300.00015,1.93818e-12
24185,300.00018,1.072844e-12
24186,300.0002,6.0258694e-13
24187,300.00027,3.2981994e-13
24188,300.00034,1.8825605e-13
24189,300.0004,1.03849173e-13
24190,300.00046,5.982572e-14
24191,300.00052,3.7186278e-14
24192,300.0006,2.8721573e-14
24193,300.00067,2.930757e-14
24194,300.00076,3.7868912e-14
24195,300.00082,5.3348493e-14
24196,300.00092,7.9783416e-14
24197,300.00098,1.1731942e-13
24198,300.001,1.732236e-13
24199,300.00107,2.5270378e-13
24200,308.9499,0.035631858
24201,308.26025,0.03241239
24202,307.6038,0.029400062
24203,306.98148,0.026592825
24204,306.39377,0.02398685
24205,305.84085,0.021576783
24206,305.32248,0.019355996
24207,304.83823,0.017316839
24208,304.38736,0.015450863
24209,303.96893,0.013749049
24210,303.58188,0.012201991
24211,303.2249,0.010800076
24212,302.89667,0.009533631
24213,302.59573,0.008393055
24214,302.3206,0.007368926
24215,302.06973,0.0064520873
24216,301.8416,0.005633717
24217,301.63477,0.0049053812
24218,301.4477,0.0042590722
24219,301.2789,0.003687235
24220,301.12704,0.0031827802
24221,300.99072,0.0027390914
24222,300.8687,0.0023500228
24223,300.75977,0.0020098917
24224,300.66272,0.001713465
24225,300.57654,0.0014559444
24226,300.50018,0.0012329458
24227,300.43274,0.00104048
24228,300.3733,0.0008749288
24229,300.32104,0.0007330234
24230,300.2753,0.0006118208
24231,300.23532,0.00050868053
24232,300.2005,0.00042124235
24233,300.17026,0.00034740407
24234,300.1441,0.00028530008
24235,300.12152,0.0002332811
24236,300.1021,0.00018989471
24237,300.08548,0.0001538669
24238,300.0713,0.00012408475
24239,300.0592,9.958013e-05
24240,300.04898,7.951457e-05
24241,300.04034,6.316515e-05
24242,300.03308,4.9911494e-05
24243,300.027,3.9223807e-05
24244,300.02194,3.065189e-05
24245,300.01776,2.3815162e-05
24246,300.01428,1.8393632e-05
24247,300.01144,1.4119721e-05
24248,300.0091,1.0770967e-05
24249,300.0072,8.163503e-06
24250,300.00568,6.1462915e-06
24251,300.00446,4.596043e-06
24252,300.00345,3.412768e-06
24253,300.0027,2.5159184e-06
24254,300.00204,1.8410548e-06
24255,300.00156,1.3369903e-06
24256,300.0012,9.633629e-07
24257,300.0009,6.8858594e-07
24258,300.00067,4.881318e-07
24259,300.0005,3.4310614e-07
24260,300.00037,2.390736e-07
24261,300.00027,1.6509858e-07
24262,300.00018,1.129686e-07
24263,300.00015,7.657116e-08
24264,300.0001,5.139859e-08
24265,300.00006,3.4157928e-08
24266,300.00006,2.246691e-08
24267,300.00003,1.4619186e-08
24268,300.00003,9.404944e-09
24269,300.00003,5.975228e-09
24270,300.0,3.743177e-09
24271,300.0,2.3615647e-09
24272,300.0,1.5125702e-09
24273,300.0,9.203428e-10
24274,300.0,5.5369104e-10
24275,300.00003,3.2935962e-10
24276,300.00003,1.9371521e-10
24277,300.00003,1.1265093e-10
24278,300.00003,6.475627e-11
24279,300.00006,3.6763124e-11
24280,300.00006,2.0645588e-11
24281,300.0001,1.1579723e-11
24282,300.0001,6.602938e-12
24283,300.00012,3.643104e-12
24284,300.00015,2.0119323e-12
24285,300.00018,1.1030189e-12
24286,300.0002,6.229575e-13
24287,300.00027,3.4507e-13
24288,300.00034,1.9893856e-13
24289,300.0004,1.07558575e-13
24290,300.00046,6.2706655e-14
24291,300.00052,3.954859e-14
24292,300.0006,3.084987e-14
24293,300.00067,3.186718e-14
24294,300.00076,4.0429923e-14
24295,300.00082,5.75857e-14
24296,300.00092,8.75752e-14
24297,300.00098,1.2898665e-13
24298,300.00104,1.8763744e-13
24299,300.00107,2.7041818e-13
24300,308.9419,0.035629306
24301,308.25415,0.032418158
24302,307.59943,0.029412767
24303,306.97858,0.026611194
24304,306.39218,0.024009725
24305,305.84036,0.021603119
24306,305.32294,0.019384865
24307,304.83948,0.017347421
24308,304.38925,0.015482454
24309,303.97134,0.013781039
24310,303.5847,0.012233871
24311,303.228,0.010831423
24312,302.89996,0.009564104
24313,302.59915,0.008422383
24314,302.32407,0.0073969024
24315,302.0732,0.006478562
24316,301.84506,0.0056585884
24317,301.63815,0.004928589
24318,301.45093,0.0042805923
24319,301.282,0.0037070718
24320,301.13,0.003200963
24321,300.99353,0.002755668
24322,300.87134,0.002365057
24323,300.7622,0.0020234575
24324,300.665,0.0017256459
24325,300.57864,0.0014668283
24326,300.5021,0.0012426245
24327,300.43448,0.0010490456
24328,300.37488,0.0008824734
24329,300.3225,0.0007396372
24330,300.2766,0.0006175908
24331,300.23648,0.00051369023
24332,300.20154,0.00042557082
24333,300.1712,0.00035112552
24334,300.14493,0.0002884837
24335,300.12225,0.00023599084
24336,300.10275,0.00019218924
24337,300.08603,0.00015579964
24338,300.07178,0.00012570406
24339,300.05963,0.000100929414
24340,300.04935,8.063259e-05
24341,300.04065,6.408627e-05
24342,300.03336,5.066597e-05
24343,300.02722,3.98381e-05
24344,300.02213,3.1148997e-05
24345,300.0179,2.4214922e-05
24346,300.0144,1.871305e-05
24347,300.01154,1.4373268e-05
24348,300.0092,1.0970873e-05
24349,300.0073,8.320029e-06
24350,300.00574,6.267986e-06
24351,300.0045,4.6899695e-06
24352,300.0035,3.4847235e-06
24353,300.00272,2.5706215e-06
24354,300.00208,1.8823163e-06
24355,300.0016,1.3678629e-06
24356,300.00122,9.862719e-07
24357,300.00092,7.054417e-07
24358,300.00067,5.004261e-07
24359,300.00052,3.519935e-07
24360,300.00037,2.4543942e-07
24361,300.00027,1.6961553e-07
24362,300.00018,1.1614279e-07
24363,300.00015,7.877974e-08
24364,300.0001,5.29197e-08
24365,300.00006,3.519459e-08
24366,300.00006,2.3165722e-08
24367,300.00003,1.5084817e-08
24368,300.00003,9.711227e-09
24369,300.00003,6.173526e-09
24370,300.0,3.870959e-09
24371,300.0,2.4464943e-09
