z (m),u (m/s),V (1/s),T (K),rho (kg/m3),H2,H,O,O2,OH,H2O,HO2,H2O2,CH,CH2,CH2*,CH3,CH4,CO,CO2,HCO,CH2O,CH3O,C2H2,H2CC,C2H3,C2H4,C2H5,C2H6,HCCO,CH2CO,CH2CHO,CH3CHO,aC3H5,C3H6,nC3H7,N2
0.07002441406249998,2.3126823354189536,0.0,982.9588525759352,0.3463331042565356,0.010738351325185783,0.000140943868475601,1.5173129558727301e-05,0.14384817488216808,0.0001612358978278152,0.04760244036574855,0.0004914419275854583,7.305850713791466e-05,4.222694915046422e-09,1.6303228807145272e-06,1.2258813075040224e-07,0.0006167553003882361,0.0013923088063052542,0.029379984972761595,0.007043314789804145,1.4800797051381052e-05,0.0016335708253638211,4.7305223149333066e-05,0.001225624199721373,2.1529185222372508e-07,1.227887671235957e-05,0.041813591088064136,0.00020122380966187882,0.0010683414202481707,2.190242183728633e-06,0.0004214057348819181,9.452735848225107e-05,0.00020187890677700953,1.3410969081646788e-05,0.00016553039266697914,1.3017206324104381e-06,0.711577862236816
0.070029296875,2.3960709321745988,0.0,1017.2184414528651,0.3342799532118561,0.010922755551399467,0.0001795485468278639,1.9424364865859767e-05,0.14091462545863634,0.0001897463377308211,0.04986205159419747,0.0005128195027031018,7.367523502504515e-05,7.4641577845261e-09,2.162343411755178e-06,1.6298604139708385e-07,0.0006936806568404564,0.0014532608303128637,0.03119470469716987,0.007612573212672727,1.9084906856150756e-05,0.0016629633231625683,4.261012634994093e-05,0.0013219038107758205,2.9984994496405503e-07,1.607133863159333e-05,0.04026152762440473,0.0001996773732022709,0.0010850443848953294,2.8659766435814185e-06,0.0004277681132265175,0.00010708339616678169,0.00021677779421228952,1.4667562325904793e-05,0.0001793671598574206,1.1284804595872967e-06,0.7108099599968917
0.0700341796875,2.4804696616911044,0.0,1051.8084213436848,0.3229059865963966,0.011105820149551391,0.0002256326012491073,2.471274106702507e-05,0.13791087545335212,0.0002226643010295932,0.05214930011940641,0.0005315715531189781,7.383925690590529e-05,1.2917806738235388e-08,2.8461117450515994e-06,2.1481415042993867e-07,0.0007738108655365949,0.00151081087052395,0.03305852219355222,0.008212541104260224,2.426106850503729e-05,0.0016824538523557426,3.812121534151378e-05,0.0014233597592650323,4.165780645406153e-07,2.080752805865572e-05,0.03867385522335443,0.00019516692333045434,0.00109122543287471,3.718495806955112e-06,0.00043123840639088673,0.00011907889434271008,0.00023171938069909177,1.6013376171580234e-05,0.00019317809188860546,9.304985443651895e-07,0.7100512802217499
0.0700390625,2.565625833356816,0.0,1086.621733408492,0.3121883614833452,0.011287235423900156,0.0002799262696820459,3.121556930818687e-05,0.13484391810515828,0.0002604598284362623,0.054458529822494155,0.0005470023507245024,7.349320680542872e-05,2.18892149984337e-08,3.714830409508822e-06,2.805928525901703e-07,0.0008560277089444792,0.00156394446981834,0.034965758661508146,0.008843456233426951,3.0359899167442152e-05,0.0016918019178343334,3.393572177326125e-05,0.0015300155364865655,5.762118209411421e-07,2.6615317565867193e-05,0.037055548284627766,0.00018812949755028877,0.0010863446524306312,4.782793302847745e-06,0.00043189449204605857,0.00012998657584485686,0.0002465489877173863,1.745331202283703e-05,0.00020669556919891048,7.374469828702446e-07,0.7093035888209431
0.0700439453125,2.651278571112752,0.0,1121.5492466301566,0.3021027488768673,0.011466611299146438,0.000343101938082235,3.911768531630204e-05,0.13172145510178346,0.0003035957730051849,0.05678367004428615,0.0005584589103467106,7.258625440005908e-05,3.6333928545840144e-08,4.804724470880621e-06,3.6314064107007864e-07,0.0009390689064427388,0.0016116483466355486,0.036909932691620274,0.009505416720586185,3.735512535661652e-05,0.0016910234739040966,3.010195022853088e-05,0.0016418296804614875,7.917730692868983e-07,3.359264234994198e-05,0.03541181105560146,0.00017909783163994836,0.0010702556007831888,6.09767469612419e-06,0.0004298926792226176,0.00013929755843457086,0.00026111036997313026,1.8987769514897878e-05,0.0002196085054654308,5.696044621804025e-07,0.7085687088341448
0.07004882812499999,2.7371614422480843,0.0,1156.4809909681694,0.2926237922045767,0.011643466770122634,0.00041575554501847704,4.860969263135085e-05,0.12855180188752977,0.00035252262115308933,0.059118264715748506,0.0005653903575372932,7.107933465622144e-05,5.920419749128236e-08,6.154062731598072e-06,4.655694285442561e-07,0.0010215524368258869,0.0016529448354897316,0.038883814589430396,0.010198364074207333,4.5150376281570314e-05,0.0016803764899060087,2.6630552651498455e-05,0.001758665481274482,1.078606324455192e-06,4.178563872280867e-05,0.03374809103698687,0.0001686471601606737,0.0010432215306798393,7.705545479059942e-06,0.00042544668624227276,0.00014656554621950114,0.00027525146699451035,2.0611082336752708e-05,0.00023156764031310244,4.3461528635656986e-07,0.7078485248474319
0.07005859375,2.908841855488611,0.0,1226.0416459343407,0.27535308565395145,0.01198800476850343,0.0005907157936761463,7.290167397421856e-05,0.12209792389989707,0.0004688727474696402,0.06379589183691332,0.0005646747052946317,6.621960185796628e-05,1.4449529603212728e-07,9.738124225451978e-06,7.424630180613947e-07,0.0011804866447098362,0.0017138337614120472,0.042896730036329274,0.011675664010542002,6.256527137793916e-05,0.001631224158399635,2.0723756772797156e-05,0.002006453050546668,1.919168500661325e-06,6.168915913295612e-05,0.030377964684895904,0.00014521455386649597,0.0009586340448714229,1.1926770778727447e-05,0.0004100365162535045,0.00015402521825501594,0.00030186707318095147,2.408227288101828e-05,0.00025154146101056494,2.546764113089562e-07,0.7064573335997453
0.070068359375,3.078330328921179,0.0,1294.3713628979713,0.26019254143433496,0.012314437547520074,0.0008080507839356729,0.00010562044327035534,0.11556766784796205,0.0006128742900729688,0.06842754437671238,0.0005441402392894912,5.905130679981632e-05,3.2406287266587763e-07,1.4689442570546603e-05,1.1368635690133306e-06,0.0013200742240261113,0.0017405352823466115,0.046926589378606574,0.013267207271369352,8.08729018967588e-05,0.001551533268477906,1.5956118901562727e-05,0.0022679751090814693,3.2032499866400998e-06,8.507110776539581e-05,0.02700018887033793,0.00012188308022207934,0.0008435189102556221,1.7822141596564504e-05,0.0003880908101216502,0.0001513498053247996,0.0003254277586681778,2.7648552565290748e-05,0.0002635615437973787,1.5223260195734514e-07,0.7051458011774752
0.07007812499999999,3.2436649415944334,0.0,1360.7164899457334,0.24693012697529954,0.012615506971248245,0.0010685821950987013,0.00014832184899464616,0.1090336216994448,0.0007875957457879826,0.07295588206609731,0.0005064308374832847,5.010176699952331e-05,6.662789186632866e-07,2.1074024442691183e-05,1.6705219837116048e-06,0.001429162008651068,0.0017297502717833627,0.05090255999970472,0.014966159694338305,9.82074302182769e-05,0.001449156462251343,1.2116700439843544e-05,0.0025338682334772305,4.959119675536521e-06,0.00010935410733445267,0.02366581769062011,0.00010056128468609772,0.0007102940088279055,2.5725931186155306e-05,0.0003612198448251542,0.00013986024831405265,0.00034532896274834887,3.099549412897301e-05,0.0002653366501393892,9.272878106795438e-08,0.7039300191713691
0.070087890625,3.403078260781614,0.0,1424.4246618272498,0.23536296644146637,0.012883001421367906,0.0013711408495529188,0.00020288497335112045,0.1025653259305156,0.0009959641706313543,0.07732490194003064,0.00045655245306378987,4.0258824527157826e-05,1.260321212639555e-06,2.8759374579298697e-05,2.355430578300513e-06,0.0014985808887265078,0.0016810706787625197,0.054754867148822696,0.016763475689511836,0.00011304720912213594,0.0013329736407700593,9.051766869754464e-06,0.0027883919706331206,7.086800633636587e-06,0.000131091142435181,0.02042878560628724,8.185563422101258e-05,0.0005721797765912727,3.588580514140517e-05,0.0003307174937904151,0.00012238488306063,0.0003612271982013243,3.372745679329698e-05,0.00025588407125293574,5.709178818138314e-08,0.7028252523571742
0.07009765625,3.5550621833332365,0.0,1484.9647520087694,0.22530086593810209,0.013108585594995776,0.0017125043943506195,0.0002717188074190229,0.09622702299030123,0.0012405140362773414,0.0814827813972616,0.0004003393737154981,3.0561211259475125e-05,2.204128645680122e-06,3.740621898041303e-05,3.187718507383775e-06,0.0015227711828912631,0.0015970573053274719,0.05841858652240298,0.01864867854327769,0.00012454351481147895,0.0012116726841217968,6.647650502602019e-06,0.003009423822995522,9.348772521052295e-06,0.0001470080238308314,0.01734346754065325,6.566353806948613e-05,0.00044086026282190904,4.8364759658842036e-05,0.00029778983221104386,0.00010215329976746546,0.00037298034118671275,3.544596900881017e-05,0.00023594184571146406,3.525783687137556e-08,0.7018447334586776
0.07010742187499999,3.6983931578403184,0.0,1541.9288776088802,0.2165693435109442,0.01328476980780704,0.0020875012509823203,0.00035787738373358065,0.09007678538374143,0.0015228869518276807,0.08538435742560632,0.0003430764523965835,2.1925609247705902e-05,3.5828195548073467e-06,4.650197068323019e-05,4.142710595683068e-06,0.001500713408969789,0.0014829121345303535,0.061835646180408724,0.020610674884419873,0.0001324813510751749,0.0010925432144412452,4.805025196777709e-06,0.0031710469423982075,1.1423066091030064e-05,0.00015498853286708233,0.014461366017989592,5.170014432844371e-05,0.0003248846052486905,6.29223912778094e-05,0.0002637272678542182,8.190878297652298e-05,0.00038059455814526985,3.5841331855583816e-05,0.00020783646250320124,2.169699023911154e-08,0.7009985542342556
0.0701171875,3.8321187742820535,0.0,1595.0182225329283,0.20901193616954453,0.013405793753150102,0.0024893460046908665,0.00046504297821370555,0.0841664068701933,0.0018432652392661728,0.08899308070568782,0.0002886948932732306,1.4931389391104737e-05,5.439968156863402e-06,5.541209968146713e-05,5.172294152804391e-06,0.0014358660419970409,0.0013458137917163387,0.06495517708891739,0.022638344834461813,0.00013703176433506453,0.0009805928143607524,3.4268785258297074e-06,0.003248554371970722,1.2995014074379986e-05,0.0001545251776870934,0.011827395870529445,3.9754391291000224e-05,0.00022901965568487723,7.890517652216387e-05,0.0002298682916026693,6.349114235777512e-05,0.00038419542887328784,3.476654267290681e-05,0.00017487993212126132,1.3230355459790306e-08,0.7002927963640854
