z (m),U (m/s),T (K),H2,H,O,O2,OH,H2O,HO2,H2O2,CH,CH2,CH2*,CH3,CH4,CO,CO2,HCO,CH2O,CH3O,C2H2,H2CC,C2H3,C2H4,C2H5,C2H6,HCCO,CH2CO,CH2CHO,CH3CHO,aC3H5,C3H6,nC3H7,N2
0.06968749999999999,0.6939791575932268,303.55236468649673,0.00012019421590175797,1.3033662108409452e-14,1.1832093408626585e-11,0.21786238945299108,3.3696837699189875e-09,0.0002002348631370577,1.6126557586728498e-06,8.874089429537926e-07,3.306716917658462e-20,4.189732992265486e-14,3.65260329612746e-16,5.11158166621579e-08,4.313609662032043e-06,0.00010380413232599601,1.1510476459201713e-05,2.7332305719789078e-12,3.4322215350568184e-06,3.754418509490172e-08,1.5398024716567284e-06,1.131720807362781e-15,2.043854620221948e-12,0.06378247504846211,5.128411322077554e-12,1.345525409079142e-06,1.1371881402426416e-14,5.596837390136421e-07,3.1866796894584485e-11,1.581277240143166e-07,1.1554211347012485e-09,5.289783025697516e-08,5.118030286100906e-13,0.7179053966384169
0.06976562499999998,0.7105156900944211,310.42730155502846,0.00018754356399035805,1.5220369830213012e-13,6.18918472104638e-11,0.21740881359879957,1.6002055355575892e-08,0.0005724931323857833,4.885658056555836e-06,2.618478021381938e-06,-1.4977409504614936e-19,3.3402955421394065e-13,5.481066689177766e-15,1.6310575128883284e-07,1.2413407075670025e-05,0.0003147539130571954,4.205125923926802e-05,1.6606172860204624e-11,1.2397459576650926e-05,2.8964069151678826e-07,5.400092295765615e-06,1.6996803741723467e-14,1.1142528153571341e-11,0.06371653915858333,8.788049295710176e-11,5.133173775373487e-06,2.2901352818625924e-13,2.267938639637413e-06,1.751903762292351e-10,6.52408904309109e-07,5.6581453103382275e-09,2.427661722907719e-07,2.1699667894024246e-12,0.7177113192290798
0.06980468749999999,0.7331444689073878,319.9893951219357,0.00023763480063825998,7.777107332417545e-13,1.8341029782297399e-10,0.21677935693999817,4.141754781088012e-08,0.0010759738239040412,9.70207435050704e-06,4.9645676985885585e-06,1.862920365607293e-19,1.421940099759712e-12,3.0824120532345513e-14,3.5814670510256995e-07,2.3487571487870214e-05,0.0006191624930329203,9.5198129405399e-05,5.842088683123523e-11,2.770416590282925e-05,9.795227537205846e-07,1.1847284424789288e-05,9.569932067620656e-14,3.4694770795688004e-11,0.06359967638484597,9.452023978028486e-10,1.2014290407300579e-05,1.5721435290515482e-12,5.573857821789475e-06,5.548332538270784e-10,1.6243072234011145e-06,1.6748181487178143e-08,6.594899067810695e-07,7.052478711284488e-12,0.7174940221962476
0.06984374999999998,0.780732540005382,340.2233229813606,0.0003025722779021793,5.117228312989079e-12,6.58027692398717e-10,0.21543508135779718,1.1477298270890312e-07,0.0021139303680262223,2.0566663176302108e-05,9.770412751553952e-06,1.2600963166749442e-19,7.550270262600607e-12,2.0729063575474537e-13,8.852467132254661e-07,4.666881221184511e-05,0.001286846807376285,0.00023165194231760143,2.699784944047917e-10,6.62802202627972e-05,3.2435398422196283e-06,2.783156354353731e-05,6.444664467729431e-13,1.380779766269262e-10,0.06329786779334722,1.2035423910896203e-08,3.03449568459238e-05,1.3262617541234427e-11,1.4882681241419224e-05,2.306428195941214e-09,4.394462766503048e-06,5.5996076376053755e-08,1.971723339455459e-06,3.809204702343791e-11,0.7171050229287155
0.06988281249999999,0.8757141675703917,380.6803455379321,0.0003838650771767327,4.495754503772466e-11,3.1190782904106492e-09,0.21269847664591013,3.6118332582283147e-07,0.004126541933530308,4.458427681291173e-05,1.869546530662027e-05,9.319808529147759e-21,5.1101815413654236e-11,1.7766789654068947e-12,2.481392682085483e-06,9.277808913033054e-05,0.002680212446673702,0.0005623847561570861,1.709100553927548e-09,0.00015709226199814056,9.897644822448484e-06,6.530605840619812e-05,5.522944959976325e-12,8.065902627831278e-10,0.06256865597282553,1.5637899251365158e-07,7.628866558159748e-05,1.3483986254798457e-10,3.944597337363418e-05,1.4490734014929426e-08,1.1804421608340974e-05,1.978097504612169e-07,5.853614451873729e-06,3.7202119414506993e-10,0.7164548991955954
0.06990234374999998,0.9547998697926456,414.3473446816045,0.0004308302722158723,2.0107842394228307e-10,8.95968806782083e-09,0.21037436212334676,7.74383896353531e-07,0.005749165847904821,6.71051207813198e-05,2.531133340768615e-05,1.0546596858224028e-17,1.8165529626384148e-10,7.2090042466959746e-12,4.7813986596705375e-06,0.00013110009624487865,0.0038880567114634853,0.0008864158677723006,5.63990338573603e-09,0.0002427583300190583,1.705584218046785e-05,0.0001010340163438634,2.2379415258948034e-11,2.676125036535179e-09,0.061860347208186964,7.848341118108043e-07,0.00012231749167039742,5.659983541426547e-10,6.509840217521341e-05,5.35601884587826e-08,1.9677828318186968e-05,4.1490366747792643e-07,1.0360775732333462e-05,1.8252951916623048e-09,0.7160021735722647
0.069921875,1.064153601019417,460.8204971051051,0.0004813706611532974,9.730381457413266e-10,2.6716709335793573e-08,0.2070972200156603,1.7039008609031502e-06,0.007931432163949424,0.00010113896281855459,3.367326180435006e-05,1.812483478070261e-16,6.738745644213558e-10,3.0845725500964454e-11,9.475225809072605e-06,0.00018421989198982118,0.005618266771151267,0.0013941735082396824,1.9783219564498417e-08,0.0003724150300500414,2.830201684132562e-05,0.00015590722308083554,9.515218436640451e-11,9.890159472678293e-09,0.060761536306889415,3.1757788415247813e-06,0.0001953715404246721,2.414297961937845e-09,0.0001070207975139565,2.1934463275797042e-07,3.277659724316973e-05,8.809585082015429e-07,1.8420376631851666e-05,9.129330452182134e-09,0.7154712299593787
0.06993164062499999,1.1328854410802043,489.97663915274956,0.0005077920816665709,2.6506269518316792e-09,4.890516075204059e-08,0.20500151605215444,2.630345564257314e-06,0.009270785460505243,0.00012412680702468602,3.8496914674314905e-05,1.0060645185840615e-15,1.3967770683490596e-09,6.845472818451128e-11,1.371807182751485e-05,0.00021771956429250143,0.0067387236133433755,0.0017464815177073315,3.923541817305291e-08,0.0004589019993301857,3.564093054668866e-05,0.00019340741193975885,2.1019066821631964e-10,2.0377315860572212e-08,0.06000637278492176,6.559349715362989e-06,0.00024610333573900936,5.332132002507877e-09,0.00013672647184653552,5.006838608567007e-07,4.229159354206752e-05,1.2992026936498779e-06,2.4620540765325322e-05,2.2225064997640497e-08,0.7151854448648961
0.06994140624999999,1.212139600255979,523.541853516936,0.000534808460617506,6.986593210131872e-09,8.849300763354753e-08,0.20254998335178526,4.042252741127783e-06,0.010789668435256687,0.00015190567403102105,4.3737361978086724e-05,5.6091265618799616e-15,2.8873449739307905e-09,1.5174081103933047e-10,1.9896002722162414e-05,0.00025651969149546595,0.008061235019687306,0.0021826343359149097,7.772975366542825e-08,0.0005624185040469111,4.405867570792455e-05,0.00023935172603065916,4.6243864926308815e-10,4.236388728329338e-08,0.05907873487891689,1.2741509351940009e-05,0.0003086873215805126,1.1561549711304462e-08,0.00017377919496711774,1.128138531279364e-06,5.44476058316292e-05,1.907767091577265e-06,3.288073114783876e-05,5.151101721329821e-08,0.7148951512136521
0.069951171875,1.3023614558615886,561.6782560029827,0.0005622979933966923,1.8317686966739122e-08,1.5832013268990892e-07,0.1997153234908323,6.162745158891198e-06,0.012491181423464682,0.00018492363015904686,4.933743594288022e-05,3.100742203060546e-14,5.943207702728367e-09,3.340510283318004e-10,2.880675573068106e-05,0.0003009460789258265,0.009604146903278817,0.0027150763165322677,1.530916932816601e-07,0.00068346952145608,5.31447584274271e-05,0.0002949038664041641,1.0077534691273372e-09,8.815219922362203e-08,0.05795598654481788,2.3367479461239224e-05,0.0003842457511629014,2.465425239141274e-08,0.00021876324150643426,2.4912839241703408e-06,6.972195537341206e-05,2.7637206178794168e-06,4.367931147921859e-05,1.1354915835898034e-07,0.7146086964215489
